Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
485,Cam Reddish,25,LAL,SF,31,8,18.1,1.2,2.8,.430,0.4,1.5,.289,0.8,1.3,.585,.506,0.5,0.8,.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.4,3.3,,2025
486,Landry Shamet,27,NYK,SG,22,0,11.0,1.4,3.0,.455,0.5,1.6,.306,0.9,1.4,.633,.538,0.1,0.2,.400,0.2,0.5,0.8,0.6,0.4,0.1,0.4,0.8,3.3,,2025
487,Orlando Robinson,24,2TM,C,20,0,10.1,1.2,3.0,.383,0.1,0.6,.167,1.1,2.4,.438,.400,0.8,1.1,.727,0.9,1.9,2.8,1.0,0.4,0.2,0.6,1.5,3.2,,2025
488,Orlando Robinson,24,SAC,C,9,0,6.3,0.8,1.9,.412,0.1,0.6,.200,0.7,1.3,.500,.441,0.4,0.8,.571,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.1,,2025
489,Orlando Robinson,24,TOR,C,11,0,13.2,1.5,3.9,.372,0.1,0.6,.143,1.4,3.3,.417,.384,1.1,1.4,.800,1.3,2.5,3.7,1.0,0.4,0.3,0.7,2.1,4.1,,2025
490,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,0.3,0.6,.600,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,,2025
491,Elijah Harkless,24,UTA,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,,2025
492,Wendell Moore Jr.,23,DET,SG,20,1,11.0,1.2,2.5,.460,0.2,0.7,.286,1.0,1.8,.528,.500,0.7,0.7,.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,,2025
493,Jaylon Tyson,22,CLE,SG,35,2,9.8,1.2,2.6,.457,0.4,1.1,.378,0.8,1.6,.509,.533,0.4,0.5,.778,0.8,1.4,2.2,0.9,0.2,0.1,0.5,1.2,3.2,,2025
494,Kylor Kelley,27,DAL,C,7,1,8.6,1.3,1.6,.818,0.0,0.0,,1.3,1.6,.818,.818,0.6,0.9,.667,1.1,1.7,2.9,0.1,0.0,0.3,0.1,1.1,3.1,,2025
495,Craig Porter Jr.,24,CLE,PG,33,0,9.4,1.2,2.2,.556,0.3,0.8,.440,0.9,1.4,.617,.632,0.3,0.4,.769,0.2,0.8,1.1,1.3,0.4,0.3,0.6,0.5,3.1,,2025
496,Terrence Shannon Jr.,24,MIN,SG,16,0,8.0,1.3,2.7,.465,0.3,0.9,.267,1.0,1.8,.571,.512,0.4,0.5,.750,0.3,0.7,0.9,0.9,0.3,0.1,0.4,0.4,3.1,,2025
